"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","p.adjust.digits"
"GO:1900452","GO:1900452","regulation of long-term synaptic depression","1/1","12/9489",0.00126462219411949,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099149","GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization","1/1","14/9489",0.00147539255980622,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:2000311","GO:2000311","regulation of AMPA receptor activity","1/1","16/9489",0.00168616292549284,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0098884","GO:0098884","postsynaptic neurotransmitter receptor internalization","1/1","19/9489",0.00200231847402255,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0140239","GO:0140239","postsynaptic endocytosis","1/1","19/9489",0.00200231847402255,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0060292","GO:0060292","long-term synaptic depression","1/1","21/9489",0.00221308883970905,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099590","GO:0099590","neurotransmitter receptor internalization","1/1","22/9489",0.00231847402255247,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:2000273","GO:2000273","positive regulation of signaling receptor activity","1/1","26/9489",0.00274001475392571,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0007616","GO:0007616","long-term memory","1/1","31/9489",0.00326694066814204,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099637","GO:0099637","neurotransmitter receptor transport","1/1","33/9489",0.00347771103382877,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:1900271","GO:1900271","regulation of long-term synaptic potentiation","1/1","33/9489",0.00347771103382877,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","1/1","35/9489",0.00368848139951539,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","1/1","37/9489",0.00389925176520189,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity","1/1","40/9489",0.0042154073137316,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0002090","GO:0002090","regulation of receptor internalization","1/1","46/9489",0.00484771841079146,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0050805","GO:0050805","negative regulation of synaptic transmission","1/1","46/9489",0.00484771841079146,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0060997","GO:0060997","dendritic spine morphogenesis","1/1","48/9489",0.00505848877647808,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:2001259","GO:2001259","positive regulation of cation channel activity","1/1","48/9489",0.00505848877647808,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0007492","GO:0007492","endoderm development","1/1","50/9489",0.0052692591421647,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","1/1","55/9489",0.00579618505638113,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0051028","GO:0051028","mRNA transport","1/1","58/9489",0.00611234060491106,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0097061","GO:0097061","dendritic spine organization","1/1","64/9489",0.00674465170197081,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0060291","GO:0060291","long-term synaptic potentiation","1/1","65/9489",0.00685003688481411,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0099175","GO:0099175","regulation of postsynapse organization","1/1","65/9489",0.00685003688481411,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0106027","GO:0106027","neuron projection organization","1/1","69/9489",0.00727157761618735,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0032414","GO:0032414","positive regulation of ion transmembrane transporter activity","1/1","70/9489",0.00737696279903055,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","1/1","71/9489",0.00748234798187375,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0032411","GO:0032411","positive regulation of transporter activity","1/1","74/9489",0.00779850353040368,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0031623","GO:0031623","receptor internalization","1/1","75/9489",0.0079038887132471,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0050657","GO:0050657","nucleic acid transport","1/1","81/9489",0.00853619981030684,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0050658","GO:0050658","RNA transport","1/1","81/9489",0.00853619981030684,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0051236","GO:0051236","establishment of RNA localization","1/1","83/9489",0.00874697017599313,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0060996","GO:0060996","dendritic spine development","1/1","84/9489",0.00885235535883655,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0010469","GO:0010469","regulation of signaling receptor activity","1/1","85/9489",0.00895774054167986,0.0247655179681737,0.0013866471426749,"Arc",1,0.025
"GO:0043112","GO:0043112","receptor metabolic process","1/1","112/9489",0.0118031404784488,0.027544088276798,0.00154222218795061,"Arc",1,0.028
"GO:0051260","GO:0051260","protein homooligomerization","1/1","119/9489",0.0125408367583519,0.0278756062711536,0.00156078422570849,"Arc",1,0.028
"GO:0031503","GO:0031503","protein-containing complex localization","1/1","137/9489",0.0144377700495312,0.0286379444141064,0.0016034683322568,"Arc",1,0.029
"GO:0006898","GO:0006898","receptor-mediated endocytosis","1/1","146/9489",0.0153862366951208,0.0286379444141064,0.0016034683322568,"Arc",1,0.029
"GO:0009952","GO:0009952","anterior/posterior pattern specification","1/1","158/9489",0.0166508588892403,0.0286379444141064,0.0016034683322568,"Arc",1,0.029
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","1/1","159/9489",0.0167562440720835,0.0286379444141064,0.0016034683322568,"Arc",1,0.029
"GO:0032409","GO:0032409","regulation of transporter activity","1/1","163/9489",0.0171777848034567,0.0288341387772308,0.00161445345897149,"Arc",1,0.029
"GO:0050803","GO:0050803","regulation of synapse structure or activity","1/1","175/9489",0.0184424069975763,0.0298894182374512,0.00167353965495247,"Arc",1,0.03
"GO:0098657","GO:0098657","import into cell","1/1","193/9489",0.0203393402887555,0.0318649664523836,0.00178415265690838,"Arc",1,0.032
"GO:0022604","GO:0022604","regulation of cell morphogenesis","1/1","217/9489",0.0228685846769946,0.0335882337443358,0.00188064018725285,"Arc",1,0.034
"GO:0072594","GO:0072594","establishment of protein localization to organelle","1/1","256/9489",0.0269786068078829,0.0390152159990922,0.00218450257553708,"Arc",1,0.039
"GO:0051223","GO:0051223","regulation of protein transport","1/1","340/9489",0.0358309621667195,0.0461420703196499,0.00258354257108902,"Arc",1,0.046
"GO:1903827","GO:1903827","regulation of cellular protein localization","1/1","345/9489",0.0363578880809359,0.0461420703196499,0.00258354257108902,"Arc",1,0.046
"GO:0070201","GO:0070201","regulation of establishment of protein localization","1/1","352/9489",0.0370955843608389,0.0461420703196499,0.00258354257108902,"Arc",1,0.046
